ward_label,mean_walk_min,median_walk_min,p90_walk_min,pct_samples_within_10min,pct_samples_beyond_10min,gap_band,gap_index,stop_count,area_km2
98,5.4,5.0,8.8,98.4,1.6,high,47,3,1.436
170,3.7,3.3,7.2,98.4,1.6,low,24,21,2.701
80,5.2,5.3,7.8,98.5,1.5,high,47,4,1.485
81,3.2,2.8,6.2,98.7,1.3,low,11,21,1.663
102,3.1,2.9,5.4,98.8,1.2,low,0,32,1.789
127,4.4,4.2,7.8,98.9,1.1,low,15,29,3.857
104,3.9,3.7,7.0,99.0,1.0,low,15,21,2.284
100,3.5,3.6,6.6,99.0,1.0,low,17,26,2.205
95,4.3,3.9,8.1,99.1,0.9,low,9,17,2.339
173,3.4,3.4,5.6,99.2,0.8,low,7,31,2.736
84,4.1,3.8,7.4,99.3,0.7,moderate,30,28,3.133
147,5.3,5.7,7.9,100.0,0.0,moderate,42,23,2.048
50,5.3,5.7,8.1,100.0,0.0,moderate,42,6,1.536
55,5.1,5.5,7.8,100.0,0.0,moderate,27,5,0.574
67,4.9,5.3,7.7,100.0,0.0,moderate,38,9,0.899
132,4.8,5.0,7.9,100.0,0.0,low,23,6,1.096
107,4.6,4.7,8.2,100.0,0.0,high,52,7,1.248
152,4.6,4.4,7.4,100.0,0.0,high,47,10,1.603
66,4.6,4.5,7.6,100.0,0.0,moderate,36,5,1.031
144,4.5,4.6,7.2,100.0,0.0,high,61,6,1.388
149,4.5,4.6,7.0,100.0,0.0,high,61,6,1.416
160,4.4,4.1,7.2,100.0,0.0,high,54,3,0.67
129,4.4,4.6,7.1,100.0,0.0,low,22,12,1.899
42,4.3,4.0,6.9,100.0,0.0,low,20,12,1.084
44,4.2,4.6,6.7,100.0,0.0,high,47,2,0.691
51,4.2,4.9,5.8,100.0,0.0,high,47,1,0.403
64,4.2,4.1,7.1,100.0,0.0,high,47,11,1.586
75,4.2,3.9,7.5,100.0,0.0,moderate,25,8,0.953
65,4.2,4.1,7.3,100.0,0.0,low,17,17,1.881
54,4.0,4.3,6.3,100.0,0.0,moderate,41,3,0.594
47,4.0,3.9,6.8,100.0,0.0,moderate,37,6,0.624
105,4.0,3.7,6.9,100.0,0.0,moderate,27,8,1.312
48,3.9,4.0,6.1,100.0,0.0,moderate,44,2,0.479
53,3.9,3.8,7.0,100.0,0.0,moderate,25,9,0.854
124,3.9,3.8,6.2,100.0,0.0,low,23,6,1.025
162,3.8,3.3,7.6,100.0,0.0,high,54,4,1.24
101,3.8,3.6,6.8,100.0,0.0,moderate,42,17,1.521
97,3.8,3.3,6.6,100.0,0.0,moderate,37,6,0.742
