ward,gap_index,pt_index,gap_band,stop_gap,shelter_gap,hub_gap,density_gap,walk_gap,mean_walk_min,area_km2,stop_count,shelter_count,hub_count,stops_per_km2,median_walk_min,p90_walk_min,mean_network_m,pct_samples_within_5min,pct_samples_within_10min,mrts_station_count,cmrl_hub_count,railway_station_count,nearest_mrts_m,nearest_cmrl_m,nearest_railway_m
100,17,83.0,low,0,0,15,2,0,3.5,2.205,26,32,0,11.79,3.6,6.6,281.5,76.2,99.0,0,0,0,935.8,1781.6,918.2
103,17,83.0,low,0,0,15,2,0,3.6,2.447,25,18,0,10.22,3.5,7.2,289.5,71.4,98.2,0,0,0,2734.8,826.6,1865.1
110,17,83.0,low,0,0,15,2,0,4.1,2.053,22,10,0,10.72,3.7,7.5,328.2,76.6,93.6,0,0,0,791.4,1105.7,834.4
134,17,83.0,low,8,0,5,4,0,4.5,0.945,7,3,1,7.41,4.4,8.2,360.8,65.1,97.7,1,0,1,513.0,1940.4,502.1
176,17,83.0,low,0,0,15,2,0,4.7,1.787,15,4,0,8.39,4.7,8.1,378.3,56.6,97.6,0,0,0,777.4,3242.5,748.1
34,17,83.0,low,0,0,15,2,0,3.8,2.442,21,6,0,8.6,3.6,6.7,305.0,70.3,100.0,0,0,0,3586.3,3082.2,3551.1
5,17,83.0,low,0,0,15,2,0,3.0,2.319,19,5,0,8.19,2.8,6.3,240.0,80.6,100.0,0,0,0,564.2,5472.5,580.9
65,17,83.0,low,0,0,15,2,0,4.2,1.881,17,6,0,9.04,4.1,7.3,334.2,60.7,100.0,0,0,0,1612.1,4440.8,1619.7
104,15,85.0,low,0,13,0,2,0,3.9,2.284,21,3,2,9.19,3.7,7.0,313.3,69.9,99.0,0,2,0,2541.2,474.3,1165.1
125,15,85.0,low,0,0,15,0,0,3.0,1.239,21,10,0,16.95,3.1,5.4,243.1,84.2,100.0,0,0,0,827.3,3214.8,834.2
127,15,85.0,low,0,6,5,4,0,4.4,3.857,29,7,1,7.52,4.2,7.8,348.3,58.2,98.9,0,1,0,3623.1,995.0,3636.9
133,15,85.0,low,0,0,15,0,0,2.8,1.838,26,14,0,14.15,2.6,5.7,226.1,84.9,100.0,0,0,0,1049.5,1179.4,1017.8
135,15,85.0,low,0,0,15,0,0,2.3,1.478,25,16,0,16.91,2.3,4.0,184.2,98.5,100.0,0,0,0,1685.0,2434.7,1698.8
167,15,85.0,low,0,0,15,0,0,2.6,1.135,18,5,0,15.86,2.7,4.2,210.2,100.0,100.0,0,0,0,1407.6,1682.9,1390.7
2,15,85.0,low,0,6,5,4,0,3.7,2.916,17,3,1,5.83,3.3,7.8,297.9,71.9,94.8,1,0,1,470.2,8541.1,452.5
28,15,85.0,low,0,0,15,0,0,3.3,1.311,20,8,0,15.26,3.4,6.1,267.1,75.4,100.0,0,0,0,3314.8,4356.5,3332.5
61,15,85.0,low,0,0,15,0,0,2.5,2.218,27,32,0,12.17,2.1,4.7,198.4,90.3,100.0,0,0,1,936.4,1290.4,896.1
68,15,85.0,low,0,0,15,0,0,3.3,1.391,17,8,0,12.22,2.9,6.5,260.5,85.9,100.0,0,0,0,854.9,3571.3,872.6
87,15,85.0,low,0,0,15,0,0,3.8,0.957,13,5,0,13.58,3.5,7.0,306.1,70.5,97.7,0,0,0,1600.5,2494.3,1567.3
114,13,87.0,low,0,6,5,2,0,3.1,1.759,20,4,1,11.37,2.5,6.6,247.6,78.8,100.0,1,0,1,197.2,2241.3,191.9
122,13,87.0,low,0,13,0,0,0,3.6,1.815,24,2,3,13.22,3.1,7.2,289.1,75.0,100.0,0,3,0,1244.6,514.6,1216.6
168,13,87.0,low,0,6,5,2,0,3.8,3.563,30,5,1,8.42,3.6,6.9,302.9,67.3,100.0,0,1,0,1084.3,1022.7,1074.3
182,11,89.0,low,0,0,0,7,4,6.2,3.28,15,4,2,4.57,5.8,12.3,495.4,40.4,85.4,1,1,1,1554.1,1636.2,1533.5
81,11,89.0,low,0,6,5,0,0,3.2,1.663,21,5,1,12.63,2.8,6.2,254.4,80.8,98.7,1,0,0,610.8,6749.7,644.3
177,9,91.0,low,0,0,5,4,0,5.2,2.781,16,7,1,5.75,4.8,9.3,412.5,50.8,93.0,1,0,1,1069.2,2329.0,1129.4
95,9,91.0,low,0,0,5,4,0,4.3,2.339,17,7,1,7.27,3.9,8.1,345.8,63.0,99.1,1,0,2,1101.0,1908.3,562.4
96,9,91.0,low,0,0,5,4,0,5.6,2.75,14,17,1,5.09,5.7,10.0,448.1,44.7,90.2,1,0,0,648.8,2186.2,650.4
169,7,93.0,low,0,0,5,2,0,5.4,3.768,32,14,1,8.49,4.4,12.2,428.4,58.7,81.6,0,1,0,927.4,608.4,900.8
171,7,93.0,low,0,0,5,2,0,4.3,3.35,28,16,1,8.36,3.8,8.0,342.1,67.1,93.5,1,0,1,1049.6,2822.2,1070.4
173,7,93.0,low,0,0,5,2,0,3.4,2.736,31,10,1,11.33,3.4,5.6,270.5,78.7,99.2,1,0,1,577.2,2533.0,564.2
70,7,93.0,low,0,0,5,2,0,3.9,1.733,18,9,1,10.39,3.6,8.4,315.3,69.2,97.4,1,0,1,637.2,3927.2,638.2
116,5,95.0,low,0,0,5,0,0,2.5,0.68,18,8,1,26.47,2.7,4.6,202.0,100.0,100.0,1,0,1,338.5,3158.2,377.0
142,5,95.0,low,0,0,5,0,0,2.6,1.066,16,8,1,15.01,2.4,4.7,205.2,92.0,100.0,1,0,1,587.8,994.2,542.2
59,5,95.0,low,0,0,5,0,0,2.9,2.816,42,25,1,14.91,2.4,6.7,234.7,74.4,100.0,2,0,2,344.3,966.1,380.2
62,5,95.0,low,0,0,5,0,0,1.9,0.833,15,8,1,18.01,1.9,3.6,151.4,100.0,100.0,1,0,1,449.7,649.6,454.4
178,4,96.0,low,0,0,0,4,0,3.2,2.702,19,8,3,7.03,3.2,6.3,257.5,80.8,100.0,2,1,2,728.9,710.8,709.0
20,3,97.0,low,3,0,0,0,0,2.9,0.637,12,3,2,18.84,2.6,5.1,231.9,85.7,100.0,0,2,0,4803.5,1303.6,4817.4
123,2,98.0,low,0,0,0,2,0,2.9,2.24,25,13,2,11.16,2.8,5.5,232.6,88.5,100.0,1,1,1,557.5,1314.7,552.8
58,2,98.0,low,0,0,0,2,0,2.7,2.594,28,17,4,10.79,2.4,5.6,216.5,85.1,100.0,4,1,1,930.3,788.2,970.2
102,0,100.0,low,0,0,0,0,0,3.1,1.789,32,19,2,17.89,2.9,5.4,246.5,83.1,98.8,0,2,0,2595.2,183.9,2475.0
52,0,100.0,low,0,0,0,0,0,2.7,1.036,16,6,2,15.44,2.5,4.9,212.9,91.7,100.0,3,0,2,529.8,1590.9,591.7
