ward,gap_index,pt_index,gap_band,stop_gap,shelter_gap,hub_gap,density_gap,walk_gap,mean_walk_min,area_km2,stop_count,shelter_count,hub_count,stops_per_km2,median_walk_min,p90_walk_min,mean_network_m,pct_samples_within_5min,pct_samples_within_10min,mrts_station_count,cmrl_hub_count,railway_station_count,nearest_mrts_m,nearest_cmrl_m,nearest_railway_m
109,48,52.0,high,22,0,15,7,4,7.7,0.941,4,1,0,4.25,8.6,11.7,617.2,19.6,76.1,0,0,0,741.4,2297.4,791.0
74,48,52.0,high,14,25,5,4,0,4.5,0.949,6,0,1,6.32,4.1,7.8,359.0,62.2,97.8,1,0,0,784.2,3480.5,800.1
152,47,53.0,high,3,25,15,4,0,4.6,1.603,10,0,0,6.24,4.4,7.4,367.3,61.3,100.0,0,0,0,4825.9,3707.5,4837.0
23,47,53.0,high,14,0,15,10,8,9.8,4.154,5,5,0,1.2,9.6,16.8,785.2,18.4,54.1,0,0,0,6726.8,6650.3,6717.3
44,47,53.0,high,22,0,15,10,0,4.2,0.691,2,3,0,2.89,4.6,6.7,335.0,62.1,100.0,0,0,0,1252.9,4872.0,1223.7
51,47,53.0,high,22,0,15,10,0,4.2,0.403,1,2,0,2.48,4.9,5.8,339.5,52.6,100.0,0,0,0,623.5,2071.6,651.3
64,47,53.0,high,3,25,15,4,0,4.2,1.586,11,0,0,6.94,4.1,7.1,333.6,65.8,100.0,0,0,0,1254.7,4022.8,1234.8
80,47,53.0,high,22,0,15,10,0,5.2,1.485,4,1,0,2.69,5.3,7.8,418.4,46.2,98.5,0,0,0,2013.8,6891.6,2043.9
94,47,53.0,high,8,13,15,7,4,6.0,1.502,7,1,0,4.66,6.3,9.6,477.5,42.0,91.3,0,0,0,815.2,2851.4,778.3
98,47,53.0,high,22,0,15,10,0,5.4,1.436,3,6,0,2.09,5.0,8.8,431.5,49.2,98.4,0,0,0,1793.3,1933.6,1780.0
172,46,54.0,high,0,20,15,7,4,6.9,8.376,31,2,0,3.7,3.8,23.7,552.8,62.6,82.6,0,0,0,1862.5,1898.8,1894.7
200,45,55.0,high,8,0,15,10,12,10.4,7.517,8,7,0,1.06,9.7,22.4,829.7,20.7,57.8,0,0,0,11552.9,13126.0,11587.3
89,45,55.0,high,3,25,15,2,0,4.5,0.994,10,0,0,10.06,4.1,8.8,362.6,63.8,97.9,0,0,0,2677.4,1918.5,2066.0
120,44,56.0,moderate,22,0,15,7,0,3.1,0.534,2,4,0,3.75,3.2,5.7,250.5,87.0,100.0,0,0,0,547.4,3143.7,488.6
131,44,56.0,moderate,22,0,15,7,0,3.2,1.045,4,3,0,3.83,3.3,5.5,259.4,84.0,100.0,0,0,0,1077.6,2289.8,1073.9
189,44,56.0,moderate,3,0,15,10,16,13.2,10.197,12,5,0,1.18,11.5,25.7,1054.8,20.5,43.0,0,0,0,2203.9,4690.2,2237.5
48,44,56.0,moderate,22,0,15,7,0,3.9,0.479,2,1,0,4.18,4.0,6.1,308.0,77.3,100.0,0,0,0,722.8,2409.5,682.9
179,43,57.0,moderate,14,0,15,10,4,6.8,1.873,5,2,0,2.67,6.3,12.0,543.8,35.7,81.0,0,0,0,1325.1,2523.1,1306.2
9,43,57.0,moderate,3,25,15,0,0,3.0,0.681,10,0,0,14.68,2.6,8.1,241.1,83.9,100.0,0,0,0,1206.0,4748.3,1231.9
101,42,58.0,moderate,0,25,15,2,0,3.8,1.521,17,0,0,11.18,3.6,6.8,305.8,73.1,100.0,0,0,0,1809.2,995.8,1815.8
117,42,58.0,moderate,0,25,15,2,0,2.8,1.327,14,0,0,10.55,2.7,5.8,222.8,84.4,100.0,0,0,0,2056.7,468.6,2031.9
145,42,58.0,moderate,0,25,15,2,0,5.0,1.513,13,0,0,8.59,4.3,9.8,397.5,61.2,97.0,0,0,0,5253.3,1256.5,3975.8
147,42,58.0,moderate,0,25,15,2,0,5.3,2.048,23,0,0,11.23,5.7,7.9,420.0,37.0,100.0,0,0,0,6581.4,3644.8,6300.1
155,42,58.0,moderate,0,25,15,2,0,4.4,1.545,17,0,0,11.0,4.2,8.1,355.6,60.9,97.1,0,0,0,4103.6,3560.1,4066.8
50,42,58.0,moderate,14,6,15,7,0,5.3,1.536,6,1,0,3.91,5.7,8.1,427.9,38.0,100.0,0,0,0,1136.0,2498.0,1109.4
72,42,58.0,moderate,8,25,5,4,0,3.3,1.318,9,0,1,6.83,3.1,7.0,262.0,69.8,100.0,2,0,1,478.5,2348.8,487.5
194,41,59.0,moderate,8,0,15,10,8,8.8,4.512,8,8,0,1.77,8.7,14.4,703.0,19.4,59.7,0,0,0,5702.9,5993.9,5730.9
